Run_ID,Performance_Score,Raw_PESQ_NB,Raw_PESQ_WB,Raw_STOI,Raw_SINR,Raw_SIR
batch_test_2756,0.8216402829168906,2.118,1.7,0.824,11.33,29.98
batch_test_6110,0.8104771208963262,2.557,1.854,0.821,12.97,31.11
batch_test_1437,0.8048846842991765,2.909,1.928,0.884,11.2,39.32
batch_test_7981,0.8022011626858855,2.433,1.7,0.715,11.87,37.36
batch_test_1180,0.8009037825001997,2.305,1.716,0.791,10.11,30.37
batch_test_1081,0.8006035515509358,2.554,1.796,0.823,9.83,23.77
batch_test_8092,0.7992291339754422,2.547,1.609,0.716,9.36,31.61
batch_test_077,0.7989480846690231,2.424,1.729,0.814,12.32,34.93
batch_test_4575,0.7979479210465809,2.19,1.42,0.792,11.11,27.61
batch_test_7212,0.797378060392986,2.268,1.603,0.787,12.2,43.03
batch_test_5673,0.7970477259030788,2.627,1.708,0.841,8.63,31.06
batch_test_4795,0.7933409189300149,2.57,1.859,0.748,14.3,51.27
batch_test_7937,0.7925251460491743,2.823,1.861,0.876,10.94,36.02
batch_test_209,0.7922617570763804,2.451,1.728,0.787,11.51,31.39
batch_test_4084,0.7920564415557244,2.241,1.525,0.713,7.5,17.53
batch_test_6584,0.7900843872278547,2.403,1.638,0.678,10.67,32.47
batch_test_2671,0.7886957439739554,2.461,1.859,0.791,9.77,28.61
batch_test_6286,0.7885944669686004,2.642,1.645,0.856,10.81,32.35
batch_test_4649,0.7866386450953117,2.596,1.752,0.829,10.05,24.82
batch_test_4025,0.7844400425907948,2.077,1.477,0.699,10.69,22.39
batch_test_2437,0.7839830838192167,2.279,1.613,0.777,13.2,42.22
batch_test_6634,0.7795532667715858,2.472,1.621,0.77,9.47,20.5
batch_test_4262,0.7790972827896153,2.402,1.505,0.867,10.29,29.69
batch_test_4759,0.7785840521045178,2.222,1.636,0.817,8.17,19.49
batch_test_1584,0.7772926833591997,2.478,1.701,0.724,9.39,33.06
batch_test_9405,0.7752734450126827,2.378,1.687,0.781,14.0,42.43
batch_test_4454,0.7734110096212968,2.565,1.795,0.84,13.09,34.43
batch_test_4326,0.773273974973546,2.705,1.779,0.695,10.74,31.23
batch_test_4284,0.7726621291525471,2.355,1.658,0.746,6.73,16.36
batch_test_5435,0.7680198397159174,1.986,1.416,0.762,8.62,20.11
batch_test_637,0.7679183890610071,1.91,1.357,0.673,8.71,20.59
batch_test_7761,0.767825571565759,2.587,1.794,0.892,10.15,48.89
batch_test_6663,0.7673248575165408,2.455,1.882,0.848,12.37,37.17
batch_test_521,0.7670772636746782,2.274,1.665,0.678,9.11,18.7
batch_test_9968,0.7664881974496678,2.291,1.57,0.711,7.95,24.67
batch_test_3587,0.7653837634045597,2.378,1.585,0.529,9.17,19.78
batch_test_3602,0.7644260162114773,2.145,1.472,0.817,8.58,20.44
batch_test_5979,0.7622826992102302,2.527,1.614,0.71,6.85,16.19
batch_test_8447,0.7615717974549534,2.266,1.564,0.613,9.24,20.38
batch_test_9574,0.7614077877474951,2.09,1.422,0.722,7.72,15.85
batch_test_9512,0.7606628155426601,2.35,1.569,0.848,11.09,32.01
batch_test_3013,0.7604668081222138,2.271,1.529,0.781,8.35,22.43
batch_test_3916,0.7592637899686184,2.573,1.734,0.839,13.21,43.34
batch_test_1885,0.7587768411096656,2.571,1.792,0.813,12.93,41.97
batch_test_7259,0.7580792876671899,2.044,1.511,0.71,9.71,22.11
batch_test_3536,0.7568887011742526,2.626,1.811,0.839,9.04,28.91
batch_test_8140,0.755856256817325,2.2,1.575,0.755,6.83,16.51
batch_test_3582,0.7555561605190475,2.312,1.661,0.855,10.29,31.24
batch_test_7300,0.7545913081480051,2.539,1.809,0.879,11.84,40.07
batch_test_1211,0.75458001633264,1.974,1.355,0.769,8.37,20.43
batch_test_5465,0.7544651812583784,2.656,1.747,0.838,12.03,36.92
batch_test_5027,0.7538568932140537,2.115,1.486,0.765,7.53,18.19
batch_test_8717,0.7537814042912889,2.337,1.818,0.841,9.31,33.27
batch_test_7418,0.7533131441810756,2.158,1.556,0.708,10.27,31.59
batch_test_7817,0.753118538768078,1.944,1.437,0.7,8.22,19.39
batch_test_4589,0.752723079723636,1.807,1.33,0.599,7.9,17.79
batch_test_1789,0.7522065713737477,2.511,1.84,0.806,8.91,20.92
batch_test_3364,0.7510034626476724,2.044,1.507,0.743,6.94,15.71
batch_test_6771,0.7500657453190456,2.213,1.558,0.854,8.16,17.89
batch_test_8819,0.7500160754464583,2.096,1.431,0.79,7.73,17.99
batch_test_5541,0.7500044573784627,2.257,1.737,0.743,11.42,31.56
batch_test_7367,0.7489952830618686,2.235,1.566,0.8,9.75,21.39
batch_test_044,0.7488397648526532,1.912,1.501,0.666,7.1,17.19
batch_test_2904,0.7481172074163294,2.346,1.647,0.78,9.7,20.79
batch_test_5623,0.7480100049987163,2.67,1.805,0.871,11.17,36.43
batch_test_9721,0.745976265371761,2.031,1.483,0.768,6.9,18.64
batch_test_5396,0.7459510461564938,1.965,1.473,0.736,6.17,16.73
batch_test_7532,0.74589972849061,2.454,1.796,0.869,8.83,30.96
batch_test_8437,0.7457662397873569,2.535,1.678,0.822,14.27,34.42
batch_test_7420,0.7456153810302065,2.294,1.537,0.711,8.45,17.99
batch_test_6376,0.7451615190416265,2.35,1.675,0.775,8.87,19.89
batch_test_1568,0.7449315930129594,2.486,1.566,0.822,11.29,35.25
batch_test_6496,0.7448517291716991,2.042,1.484,0.785,7.58,18.87
batch_test_5813,0.7448432830460251,2.432,1.722,0.817,11.63,35.68
batch_test_9584,0.7448234982614551,2.536,1.711,0.817,12.28,38.85
batch_test_570,0.7447420224617017,2.374,1.765,0.772,13.54,42.01
batch_test_063,0.7442145903655347,1.987,1.387,0.721,8.21,18.37
batch_test_2906,0.7435537770476901,2.304,1.758,0.867,7.53,20.05
batch_test_667,0.7433095027803217,2.515,1.789,0.833,10.12,33.12
batch_test_5289,0.7426542934098972,2.137,1.45,0.682,8.71,23.15
batch_test_3865,0.7425101990307902,2.254,1.556,0.746,11.09,30.67
batch_test_6485,0.7424442601968811,2.307,1.612,0.787,9.9,34.35
batch_test_6032,0.7422158157706431,2.337,1.631,0.827,10.9,35.88
batch_test_644,0.7420680097282168,2.285,1.572,0.753,13.03,35.37
batch_test_9830,0.7417938938046522,1.99,1.517,0.549,8.79,22.75
batch_test_273,0.741772063187075,2.66,1.79,0.761,9.52,27.93
batch_test_1057,0.7415738208797776,2.495,1.559,0.821,9.04,32.2
batch_test_3531,0.7410686154472175,2.106,1.473,0.771,9.25,19.61
batch_test_3475,0.740703729753344,2.284,1.555,0.73,10.75,25.84
batch_test_3321,0.7406535103537184,1.918,1.385,0.64,8.77,19.07
batch_test_4976,0.7404100679493749,2.17,1.519,0.77,7.25,16.62
batch_test_1118,0.7396110484959965,2.527,1.709,0.859,10.54,34.85
batch_test_189,0.7394125791062622,2.21,1.647,0.776,9.04,21.91
batch_test_7249,0.7394102709380864,2.007,1.537,0.654,8.18,21.94
batch_test_1828,0.7390864375865576,2.67,1.773,0.754,10.68,23.75
batch_test_721,0.7385379431300613,2.434,1.716,0.854,8.82,25.28
batch_test_2120,0.7383450476076625,2.67,1.925,0.892,9.23,32.5
batch_test_5763,0.7380626265408439,2.933,1.901,0.833,6.21,13.04
batch_test_4607,0.7379640922818266,2.437,1.594,0.792,10.96,26.51
batch_test_9351,0.7378341945873568,2.838,1.885,0.854,10.82,34.63
batch_test_6450,0.7376284382609483,2.059,1.562,0.735,7.76,17.06
batch_test_078,0.7371109883439803,2.517,1.8,0.814,10.5,29.15
batch_test_3591,0.7369296430797548,2.316,1.684,0.796,10.38,27.0
batch_test_6352,0.7365240042183874,2.286,1.603,0.729,9.28,26.37
batch_test_3128,0.7363822581919923,2.302,1.584,0.778,12.74,32.64
batch_test_2581,0.7362658887522625,1.985,1.456,0.735,7.3,18.08
batch_test_1027,0.7360889933162545,2.255,1.534,0.713,8.49,19.93
batch_test_5794,0.7358570082229974,2.236,1.545,0.719,6.36,13.13
batch_test_1481,0.7353657467721003,2.656,1.917,0.838,11.26,32.02
batch_test_9384,0.7352717347707944,2.273,1.53,0.777,12.72,29.17
batch_test_9103,0.735225353150662,2.267,1.654,0.84,8.47,22.55
batch_test_6653,0.7350826761832755,2.263,1.744,0.744,9.98,21.58
batch_test_5191,0.7349036312415723,1.947,1.392,0.668,7.76,18.29
batch_test_149,0.734743318878088,2.366,1.773,0.807,9.65,28.93
batch_test_7730,0.7343687667948051,2.16,1.548,0.765,9.96,26.23
batch_test_320,0.7342686059754069,2.221,1.573,0.829,9.37,23.59
batch_test_5076,0.7340460921325321,2.004,1.487,0.772,8.01,18.87
batch_test_4030,0.7339396341641533,2.893,1.753,0.829,13.25,40.49
batch_test_4471,0.7339004430540045,2.084,1.529,0.695,7.04,18.59
batch_test_8752,0.7337957787981624,2.196,1.596,0.75,8.43,20.36
batch_test_8445,0.7334847307029316,2.759,1.875,0.842,9.88,39.11
batch_test_3194,0.7333138405953894,2.669,1.709,0.767,11.11,23.1
batch_test_4291,0.7332384550422568,2.614,1.787,0.88,10.45,37.11
batch_test_2973,0.7327274890870553,2.467,1.694,0.824,9.7,36.64
batch_test_9566,0.7320252367620952,2.617,1.765,0.785,8.75,21.49
batch_test_4568,0.7320018343555,1.999,1.54,0.762,7.94,18.7
batch_test_833,0.731962971160538,2.05,1.51,0.723,6.97,17.03
batch_test_7104,0.7319024397704303,2.785,1.74,0.857,8.82,20.83
batch_test_016,0.7315869429573294,2.436,1.689,0.842,8.96,31.92
batch_test_970,0.7314594611427753,2.047,1.528,0.717,8.54,18.71
batch_test_812,0.7310005100288667,2.195,1.605,0.844,10.52,32.86
batch_test_1050,0.7305960366828841,1.86,1.245,0.651,7.32,21.46
batch_test_1607,0.7303887323163925,2.584,1.638,0.768,12.41,36.34
batch_test_7783,0.7299669061100844,1.908,1.442,0.677,6.97,14.63
batch_test_4058,0.729912155054072,1.948,1.443,0.789,6.47,14.11
batch_test_3910,0.7298548354498756,2.205,1.545,0.775,7.66,18.03
batch_test_5479,0.7298519617659016,2.465,1.641,0.816,12.27,27.74
batch_test_4268,0.729326747696958,2.2,1.591,0.816,6.55,17.04
batch_test_1636,0.7291137099793173,2.234,1.473,0.662,8.09,20.99
batch_test_8679,0.7288148929296929,2.102,1.431,0.742,6.67,18.39
batch_test_5049,0.7286609513434451,2.374,1.55,0.784,6.35,24.51
batch_test_9657,0.7285560143605839,2.557,1.744,0.813,10.9,26.22
batch_test_8018,0.728461544939651,2.01,1.602,0.765,8.5,29.72
batch_test_6791,0.7284458002550652,2.279,1.497,0.771,11.73,24.83
batch_test_7391,0.7283900301078984,2.366,1.56,0.851,9.48,29.62
batch_test_8825,0.7282621392412191,2.686,1.578,0.771,7.48,20.96
batch_test_8488,0.7280822693341183,2.263,1.566,0.616,13.74,34.78
batch_test_9492,0.7278739998949738,2.437,1.592,0.716,8.51,20.49
batch_test_345,0.727699034541769,1.851,1.365,0.69,6.59,15.72
batch_test_6666,0.727618719749639,2.159,1.59,0.8,9.54,40.12
batch_test_9611,0.7275265892859794,2.353,1.541,0.775,10.13,24.89
batch_test_4225,0.7274896722158144,2.153,1.622,0.736,9.65,25.83
batch_test_5727,0.7272953228539659,2.606,1.68,0.728,11.81,33.3
batch_test_4735,0.7270298339261039,2.312,1.583,0.819,6.72,14.23
batch_test_6451,0.7265496796292086,2.045,1.489,0.757,9.23,25.45
batch_test_9189,0.7264979949036784,1.978,1.351,0.731,7.9,18.58
batch_test_8259,0.7259808624443452,2.267,1.609,0.794,13.2,30.84
batch_test_9508,0.7258914169852267,2.627,1.594,0.787,8.89,38.7
batch_test_443,0.7258878665519428,2.066,1.551,0.739,7.69,18.11
batch_test_221,0.725852026199991,2.207,1.503,0.772,6.41,13.96
batch_test_6475,0.7254902513975118,1.895,1.419,0.62,8.05,22.46
batch_test_479,0.7254443855636744,2.465,1.715,0.849,8.42,18.99
batch_test_7791,0.7253785523640903,1.942,1.39,0.761,7.93,20.43
batch_test_7985,0.7248097894907212,2.203,1.508,0.77,8.55,21.48
batch_test_5633,0.7247128065824288,2.063,1.473,0.731,9.12,21.52
batch_test_4266,0.7246796605154793,2.316,1.641,0.783,12.44,27.65
batch_test_4456,0.7242249724959521,2.504,1.739,0.807,9.31,27.02
batch_test_3818,0.7237581469809506,2.352,1.581,0.787,10.2,35.93
batch_test_3853,0.7235817801603651,2.382,1.657,0.661,13.14,37.3
batch_test_2617,0.7234900248982179,1.938,1.507,0.739,7.65,16.19
batch_test_9702,0.7233202890852976,2.097,1.428,0.744,7.63,19.62
batch_test_6617,0.7230370100180157,1.869,1.32,0.75,6.74,16.4
batch_test_3683,0.7230004042821755,2.011,1.5,0.707,15.21,53.16
batch_test_1970,0.7227808043918847,2.372,1.623,0.826,11.07,32.53
batch_test_1923,0.7224019317832039,1.994,1.449,0.722,8.57,18.44
batch_test_9151,0.7223782672496226,2.157,1.457,0.74,7.24,16.84
batch_test_8998,0.7223349152213425,2.284,1.525,0.827,9.89,34.81
batch_test_608,0.7222759715662164,2.304,1.523,0.727,7.6,16.78
batch_test_6639,0.7222498966818611,2.446,1.591,0.831,11.03,32.31
batch_test_3271,0.7221501265488289,2.141,1.376,0.807,7.91,18.38
batch_test_601,0.7221443566510426,2.152,1.515,0.739,12.65,36.48
batch_test_104,0.7221369087138847,1.935,1.411,0.597,9.58,20.68
batch_test_1189,0.722123373496529,2.234,1.635,0.656,9.97,34.56
batch_test_1331,0.7219868384035814,2.365,1.546,0.733,8.49,20.35
batch_test_4748,0.7219703994180473,2.127,1.53,0.672,8.37,20.15
batch_test_2034,0.7212525237935401,2.165,1.608,0.729,8.23,19.86
batch_test_1000,0.7209390152852295,2.34,1.637,0.797,12.55,34.34
batch_test_8643,0.7208936012629876,2.104,1.459,0.756,10.12,26.15
batch_test_7896,0.7208597657015597,2.17,1.431,0.824,7.14,18.99
batch_test_4583,0.7205666990428178,2.226,1.573,0.77,7.41,20.56
batch_test_8524,0.7204436593902743,1.901,1.44,0.661,7.11,17.44
batch_test_1951,0.7203165403628703,2.195,1.218,0.757,6.58,17.55
batch_test_4036,0.7201648384583574,1.996,1.499,0.672,12.32,31.77
batch_test_5232,0.7200525240836738,2.165,1.463,0.691,7.42,19.41
batch_test_8107,0.7196596275359173,2.127,1.552,0.749,7.51,17.73
batch_test_430,0.7195176548574107,2.355,1.582,0.808,7.75,20.59
batch_test_9468,0.7194844931139827,1.817,1.358,0.707,8.98,20.16
batch_test_2959,0.7194176416663366,2.191,1.551,0.802,12.6,37.76
batch_test_8607,0.7193031243161047,2.618,1.715,0.836,11.44,29.49
batch_test_4273,0.719084442820532,2.181,1.548,0.739,7.36,17.26
batch_test_4697,0.7189086343872265,2.025,1.478,0.698,9.51,23.06
batch_test_5445,0.7188341338938362,1.883,1.382,0.774,7.1,16.01
batch_test_9851,0.7180439795077581,1.964,1.388,0.728,7.67,21.1
batch_test_1622,0.7180017755883036,2.156,1.424,0.817,8.26,17.04
batch_test_396,0.7179919886544058,2.025,1.452,0.75,7.62,20.16
batch_test_7774,0.7179851145301515,2.484,1.64,0.859,9.62,39.67
batch_test_1591,0.7179806031929835,2.807,1.774,0.796,8.24,18.0
batch_test_1232,0.7179749601056838,2.393,1.649,0.788,10.69,37.15
batch_test_4155,0.7179355245285103,2.137,1.453,0.68,7.92,17.4
batch_test_1379,0.7175783637550297,2.097,1.385,0.709,7.73,21.21
